,feature_preprocessor_type,feature_preprocessor_hyperparams,regressor,regressor_hyperparams,data_preprocessor_type,data_preprocessor_hyperparams,R2,R2normalized,ENSEMBLE WEIGHT,ENSEMBLE WEIGHT normalized,MEAN FIT TIME,MEAN FIT TIME normalized
2298,kernel_pca,"{'kernel': {'type': 'VALUE', 'data': 'poly'}, 'n_components': {'type': 'VALUE', 'data': 790}, 'coef0': {'type': 'VALUE', 'data': -0.39392331529890945}, 'degree': {'type': 'VALUE', 'data': 4}, 'gamma': {'type': 'VALUE', 'data': 0.011585664459623241}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 6.50164771261082e-05}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'elasticnet'}, 'tol': {'type': 'VALUE', 'data': 7.348424323156072e-05}, 'eta0': {'type': 'VALUE', 'data': 0.0041700859486972185}, 'l1_ratio': {'type': 'VALUE', 'data': 0.27297349140256927}, 'power_t': {'type': 'VALUE', 'data': 0.17816920422057764}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'standardize'}}",0.0,0.0,0.0,0.0,0.9023282527923584,0.9023282527923584
2299,fast_ica,"{'algorithm': {'type': 'VALUE', 'data': 'parallel'}, 'fun': {'type': 'VALUE', 'data': 'cube'}, 'whiten': {'type': 'VALUE', 'data': 'False'}}",ard_regression,"{'alpha_1': {'type': 'VALUE', 'data': 0.0002296383739733043}, 'alpha_2': {'type': 'VALUE', 'data': 9.873004894542317e-06}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'lambda_1': {'type': 'VALUE', 'data': 5.972207887804155e-05}, 'lambda_2': {'type': 'VALUE', 'data': 3.4075338140637434e-08}, 'n_iter': {'type': 'VALUE', 'data': 300}, 'threshold_lambda': {'type': 'VALUE', 'data': 9043.471032353991}, 'tol': {'type': 'VALUE', 'data': 3.0496446952724808e-05}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7191762612797203}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.14767606174619907}}",0.0,0.0,0.0,0.0,0.48781585693359375,0.48781585693359375
2300,pca,"{'keep_variance': {'type': 'VALUE', 'data': 0.8285305609917919}, 'whiten': {'type': 'VALUE', 'data': 'True'}}",CustomKernelRidgeRegression,"{'alpha': {'type': 'VALUE', 'data': 0.07328657402458048}, 'gamma': {'type': 'VALUE', 'data': 7.025343479922078e-05}, 'kernel': {'type': 'VALUE', 'data': 'rbf'}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.0,0.0,0.0,0.0,0.29676294326782227,0.29676294326782227
2301,CustomFeatureAgglomeration,"{'affinity': {'type': 'VALUE', 'data': 'manhattan'}, 'linkage': {'type': 'VALUE', 'data': 'complete'}, 'n_clusters': {'type': 'VALUE', 'data': 9}, 'pooling_func': {'type': 'VALUE', 'data': 'mean'}}",CustomKernelRidgeRegression,"{'alpha': {'type': 'VALUE', 'data': 0.05194030557261949}, 'gamma': {'type': 'VALUE', 'data': 4.885145684371185e-05}, 'kernel': {'type': 'VALUE', 'data': 'rbf'}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.8106486320121695}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.06364822714303808}}",0.0,0.0,0.0,0.0,0.4158189296722412,0.4158189296722412
2302,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.30486825195018447}, 'mode': {'type': 'VALUE', 'data': 'fwe'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",libsvm_svr,"{'C': {'type': 'VALUE', 'data': 2.224405587989502}, 'epsilon': {'type': 'VALUE', 'data': 0.007975341816107553}, 'kernel': {'type': 'VALUE', 'data': 'rbf'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 2.048776607519952e-05}, 'gamma': {'type': 'VALUE', 'data': 0.10074418946818127}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'normalize'}}",0.0,0.0,0.0,0.0,2.114506483078003,2.114506483078003
2303,fast_ica,"{'algorithm': {'type': 'VALUE', 'data': 'parallel'}, 'fun': {'type': 'VALUE', 'data': 'logcosh'}, 'whiten': {'type': 'VALUE', 'data': 'False'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.000245604831352931}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'l2'}, 'tol': {'type': 'VALUE', 'data': 7.368977732730484e-05}, 'epsilon': {'type': 'VALUE', 'data': 0.06444476143258539}, 'eta0': {'type': 'VALUE', 'data': 0.0018777660196038753}, 'power_t': {'type': 'VALUE', 'data': 0.14993113820385015}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7309642581439515}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.25}}",0.0,0.0,0.0,0.0,0.7509832382202148,0.7509832382202148
2304,polynomial,"{'degree': {'type': 'VALUE', 'data': 2}, 'include_bias': {'type': 'VALUE', 'data': 'True'}, 'interaction_only': {'type': 'VALUE', 'data': 'True'}}",k_nearest_neighbors,"{'n_neighbors': {'type': 'VALUE', 'data': 67}, 'p': {'type': 'VALUE', 'data': 1}, 'weights': {'type': 'VALUE', 'data': 'distance'}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.0,0.0,0.0,0.0,0.8533504009246826,0.8533504009246826
2305,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.11784550053227269}, 'mode': {'type': 'VALUE', 'data': 'fdr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 4.86785418298005e-05}, 'average': {'type': 'VALUE', 'data': 'False'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'l2'}, 'tol': {'type': 'VALUE', 'data': 3.0376807717703992e-05}, 'eta0': {'type': 'VALUE', 'data': 0.0004919550113004604}, 'power_t': {'type': 'VALUE', 'data': 0.25037365948551654}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'power_transformer'}}",0.0,0.0,0.0,0.0,0.997337818145752,0.997337818145752
2306,fast_ica,"{'algorithm': {'type': 'VALUE', 'data': 'parallel'}, 'fun': {'type': 'VALUE', 'data': 'logcosh'}, 'whiten': {'type': 'VALUE', 'data': 'False'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.000245604831352931}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'constant'}, 'loss': {'type': 'VALUE', 'data': 'epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'l2'}, 'tol': {'type': 'VALUE', 'data': 6.56428963548638e-05}, 'epsilon': {'type': 'VALUE', 'data': 0.06429428388837115}, 'eta0': {'type': 'VALUE', 'data': 0.0020332892625575722}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.8295259158927892}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.10800815176704447}}",0.0,0.0,0.0,0.0,0.5081186294555664,0.5081186294555664
2307,polynomial,"{'degree': {'type': 'VALUE', 'data': 3}, 'include_bias': {'type': 'VALUE', 'data': 'True'}, 'interaction_only': {'type': 'VALUE', 'data': 'True'}}",CustomKernelRidgeRegression,"{'alpha': {'type': 'VALUE', 'data': 0.0016994623524243565}, 'gamma': {'type': 'VALUE', 'data': 0.0015277566954211086}, 'kernel': {'type': 'VALUE', 'data': 'rbf'}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.0,0.0,0.0,0.0,0.33534741401672363,0.33534741401672363
