,feature_preprocessor_type,feature_preprocessor_hyperparams,regressor,regressor_hyperparams,data_preprocessor_type,data_preprocessor_hyperparams,R2,R2normalized,ENSEMBLE WEIGHT,ENSEMBLE WEIGHT normalized,MEAN FIT TIME,MEAN FIT TIME normalized
174,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 13.944252242464007}, 'epsilon': {'type': 'VALUE', 'data': 0.12242413969105263}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.00041886960814595644}, 'coef0': {'type': 'VALUE', 'data': -0.27665840290972255}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.11604881004895118}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8242435963152644,0.8242435963152644,0.0,0.0,3.6876168251037598,3.6876168251037598
175,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 146.74303468948816}, 'epsilon': {'type': 'VALUE', 'data': 0.13921268626062125}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.00032336817460393215}, 'coef0': {'type': 'VALUE', 'data': 0.005356073084907598}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.12641466694317113}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8242005233934484,0.8242005233934484,0.0,0.0,3.7891006469726562,3.7891006469726562
176,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 50.067690919285226}, 'epsilon': {'type': 'VALUE', 'data': 0.1421038070411775}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.0009734389460334581}, 'coef0': {'type': 'VALUE', 'data': -0.27636936885517727}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.08536447026088519}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 395}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'uniform'}}",0.8241937708066915,0.8241937708066915,0.0,0.0,3.8538424968719482,3.8538424968719482
177,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 16.8008179524319}, 'epsilon': {'type': 'VALUE', 'data': 0.1468918734800344}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'True'}, 'tol': {'type': 'VALUE', 'data': 0.0010656969545955089}, 'coef0': {'type': 'VALUE', 'data': -0.05087130497395176}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.20665727612748636}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8241709556987292,0.8241709556987292,0.0,0.0,3.7126352787017822,3.7126352787017822
178,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 69.91626231985127}, 'epsilon': {'type': 'VALUE', 'data': 0.12331027829874791}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'True'}, 'tol': {'type': 'VALUE', 'data': 0.001132155897103329}, 'coef0': {'type': 'VALUE', 'data': 0.6286934404736433}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.26985502627899716}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8241600891720506,0.8241600891720506,0.0,0.0,3.7994232177734375,3.7994232177734375
179,CustomFeatureAgglomeration,"{'affinity': {'type': 'VALUE', 'data': 'cosine'}, 'linkage': {'type': 'VALUE', 'data': 'complete'}, 'n_clusters': {'type': 'VALUE', 'data': 16}, 'pooling_func': {'type': 'VALUE', 'data': 'max'}}",libsvm_svr,"{'C': {'type': 'VALUE', 'data': 1483.951161116098}, 'epsilon': {'type': 'VALUE', 'data': 0.10488123746217147}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.00014738196880960763}, 'coef0': {'type': 'VALUE', 'data': -0.09081942931863429}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.1917914106843172}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8241400435462907,0.8241400435462907,0.0,0.0,3.9127919673919678,3.9127919673919678
180,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 52.41641484567044}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",extra_trees,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.35734814929087366}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 3}, 'min_samples_split': {'type': 'VALUE', 'data': 9}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7044979633638233}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.03586307620846865}}",0.8241202573488429,0.8241202573488429,0.0,0.0,8.626744747161865,8.626744747161865
181,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 34.11691131553443}, 'epsilon': {'type': 'VALUE', 'data': 0.1313038531871242}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.0003529485965028732}, 'coef0': {'type': 'VALUE', 'data': -0.2672119400484848}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.08199679432680669}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8241128853983708,0.8241128853983708,0.0,0.0,3.88374924659729,3.88374924659729
182,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 27.69008494692829}, 'epsilon': {'type': 'VALUE', 'data': 0.13811807715610439}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.00029695083155962393}, 'coef0': {'type': 'VALUE', 'data': -0.279996222884225}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.0922457063561153}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8240893269127758,0.8240893269127758,0.0,0.0,3.688535690307617,3.688535690307617
183,fast_ica,"{'algorithm': {'type': 'VALUE', 'data': 'deflation'}, 'fun': {'type': 'VALUE', 'data': 'exp'}, 'whiten': {'type': 'VALUE', 'data': 'False'}}",libsvm_svr,"{'C': {'type': 'VALUE', 'data': 24.115928423946396}, 'epsilon': {'type': 'VALUE', 'data': 0.14040210855952284}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.0003540538904983647}, 'coef0': {'type': 'VALUE', 'data': -0.051341912606837736}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.29004089593866583}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8240801060156351,0.8240801060156351,0.0,0.0,4.218666076660156,4.218666076660156
184,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 57.42293890479961}, 'score_func': {'type': 'VALUE', 'data': 'mutual_info'}}",libsvm_svr,"{'C': {'type': 'VALUE', 'data': 370.41583434378384}, 'epsilon': {'type': 'VALUE', 'data': 0.13211946442321534}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'True'}, 'tol': {'type': 'VALUE', 'data': 0.00023241697842128853}, 'coef0': {'type': 'VALUE', 'data': -0.03312111636077408}, 'degree': {'type': 'VALUE', 'data': 5}, 'gamma': {'type': 'VALUE', 'data': 0.17904924024213711}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8240501485803935,0.8240501485803935,0.0,0.0,4.09676194190979,4.09676194190979
185,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 32.36067451236116}, 'epsilon': {'type': 'VALUE', 'data': 0.10536462884141698}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'True'}, 'tol': {'type': 'VALUE', 'data': 0.00045721632518465886}, 'coef0': {'type': 'VALUE', 'data': -0.2980060572660649}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.08839868018613306}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8239979142097823,0.8239979142097823,0.0,0.0,3.6746084690093994,3.6746084690093994
186,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 17.70560590142461}, 'epsilon': {'type': 'VALUE', 'data': 0.14083940077558016}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.0001826852751577893}, 'coef0': {'type': 'VALUE', 'data': -0.127480433120571}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.1137172762490149}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8239532061086073,0.8239532061086073,0.0,0.0,3.8094725608825684,3.8094725608825684
187,,,libsvm_svr,"{'C': {'type': 'VALUE', 'data': 110.9897417284254}, 'epsilon': {'type': 'VALUE', 'data': 0.12827832445537454}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'False'}, 'tol': {'type': 'VALUE', 'data': 0.000520845134872598}, 'coef0': {'type': 'VALUE', 'data': -0.026550905161076055}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.0567325378512222}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8238334212082642,0.8238334212082642,0.0,0.0,3.839401960372925,3.839401960372925
188,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 50.025587042785745}, 'score_func': {'type': 'VALUE', 'data': 'mutual_info'}}",libsvm_svr,"{'C': {'type': 'VALUE', 'data': 489.0802938696213}, 'epsilon': {'type': 'VALUE', 'data': 0.058957652810049326}, 'kernel': {'type': 'VALUE', 'data': 'poly'}, 'max_iter': {'type': 'VALUE', 'data': -1}, 'shrinking': {'type': 'VALUE', 'data': 'True'}, 'tol': {'type': 'VALUE', 'data': 1.5606701351906916e-05}, 'coef0': {'type': 'VALUE', 'data': 0.26662052549758}, 'degree': {'type': 'VALUE', 'data': 2}, 'gamma': {'type': 'VALUE', 'data': 0.11128004645328075}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8238079948622867,0.8238079948622867,0.0,0.0,4.088289499282837,4.088289499282837
